"day_index","ensemble_1","ensemble_2","ensemble_3","ensemble_4","ensemble_5","ensemble_6","ensemble_7","ensemble_8","ensemble_9","ensemble_10","ensemble_11","ensemble_12","ensemble_13","ensemble_14","ensemble_15","ensemble_16","ensemble_17","ensemble_18","ensemble_19","ensemble_20","ensemble_21","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25925905903568e-06,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,4.62962952951784e-06,0,0,0,0,3.24074062518775e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,8.79629587871023e-05,0,6.01851825194899e-05,0,6.94444461259991e-05,0,9.25925924093463e-05,0,2.77777780866018e-05,9.25925905903568e-06,6.94444461259991e-05,2.77777780866018e-05,0.000115740738692693,0,0.000106481478724163,0,0.000111111112346407,0,6.01851825194899e-05,2.77777780866018e-05,0.000222222224692814,0,2.77777780866018e-05,0,0.000125000005937181,0,0.000101851852377877,4.62962952951784e-06,7.40740724722855e-05,0,5.09259261889383e-05,0,8.33333324408159e-05,0,4.16666662204079e-05,0,3.70370362361427e-05,0,6.94444461259991e-05,4.62962952951784e-06,6.48148125037551e-05
2,6.48148125037551e-05,6.48148125037551e-05,9.25925924093463e-05,1.85185181180714e-05,4.62962962046731e-05,0.000157407412189059,3.70370362361427e-05,9.72222187556326e-05,0.000143518511322327,7.87037060945295e-05,0.000162037031259388,5.09259261889383e-05,0.000319444458000362,0.000115740738692693,2.77777780866018e-05,0.000101851852377877,5.55555561732035e-05,8.79629587871023e-05,0.000180555565748364,5.09259261889383e-05,0.000180555565748364,2.31481481023366e-05,0.000222222224692814,4.16666662204079e-05,5.55555561732035e-05,2.77777780866018e-05,0.000194444437511265,0.000162037031259388,0.000226851858315058,0.000125000005937181,9.25925905903568e-06,6.48148125037551e-05,2.31481481023366e-05,7.87037060945295e-05,7.87037060945295e-05,9.72222187556326e-05,0.000101851852377877,9.25925905903568e-06,0.000111111112346407,0.000175925917574205,9.25925905903568e-06,0.00012037036503898
2,0.00012037036503898,4.62962962046731e-05,0.000106481478724163,4.62962962046731e-05,2.77777780866018e-05,0.000356481468770653,0.000138888892251998,9.25925924093463e-05,8.33333324408159e-05,3.24074062518775e-05,2.77777780866018e-05,0.000162037031259388,0.000101851852377877,0.00025925925001502,1.38888890433009e-05,0.000527777767274529,0.000134259258629754,5.09259261889383e-05,0.000328703696141019,0.000268518517259508,7.40740724722855e-05,0,0.000134259258629754,0.000185185184818693,0.000250000011874363,0.000111111112346407,0.000175925917574205,0.000180555565748364,3.24074062518775e-05,0.000490740756504238,5.09259261889383e-05,0.00012037036503898,8.79629587871023e-05,0.000125000005937181,0.000138888892251998,0.000347222230629995,0.000347222230629995,4.16666662204079e-05,0.000111111112346407,0.000592592579778284,2.77777780866018e-05,0.000578703708015382
2,2.77777780866018e-05,0.000379629607778043,0.000157407412189059,0.000634259253274649,0.000902777770534158,0.00108333327807486,0.000291666685370728,0.00043518515303731,0.000277777784503996,0.000620370381511748,0.000231481477385387,0.000263888883637264,3.24074062518775e-05,0.000472222222015262,4.16666662204079e-05,7.87037060945295e-05,0.000592592579778284,9.25925924093463e-05,2.31481481023366e-05,0.000157407412189059,0.000351851835148409,0.00025925925001502,0,0.000712962937541306,0.000268518517259508,0.000837962958030403,8.33333324408159e-05,8.79629587871023e-05,4.16666662204079e-05,0.00025925925001502,0.000134259258629754,0.00118518515955657,0.000162037031259388,0.000236111111007631,0.000217592576518655,0.000453703716630116,0.000236111111007631,0.000787037017289549,0.000254629616392776,0.000277777784503996,0.000203703704755753,6.94444461259991e-05
2,0.000615740776993334,0.00074074073927477,0.000953703711275011,0.000166666664881632,5.09259261889383e-05,0.000833333353511989,0.000250000011874363,0.000513888895511627,0.000486111122881994,0.000842592620756477,0.000180555565748364,0.000629629648756236,0.000430555577622727,0.000532407430000603,0.000546296301763505,0.000518518500030041,0.000532407430000603,0.000861111155245453,0.000425925914896652,0.000199074085685425,0.000319444458000362,0.00071759260026738,0.000620370381511748,0.00112037046346813,0.000472222222015262,0.000157407412189059,0.000453703716630116,0.000569444440770894,0.00043518515303731,0.000828703690785915,0.000546296301763505,0.000800925889052451,0.000652777787763625,0.00120370369404554,0.000254629616392776,0.000680555531289428,0.000134259258629754,0.000370370369637385,0.00028240738902241,0.00061111111426726,0.000805555551778525,0.000696759263519198
3,0.000643518520519137,0.000148148144944571,0.00041203701402992,4.16666662204079e-05,0.000657407392282039,0.000486111122881994,0.00028240738902241,0.000268518517259508,0.000375000003259629,0.000208333338377997,0.00114814809057862,2.31481481023366e-05,0.000370370369637385,0.000699074065778404,0.00028240738902241,4.16666662204079e-05,0.000907407433260232,0.000273148150881752,0.000796296342741698,4.62962962046731e-05,0.00074074073927477,0.000157407412189059,0.000490740756504238,0.000786574091762304,0.000703703670296818,0.000127777777379379,0.000523148162756115,1.85185181180714e-05,0.000314814824378118,0.000481481460155919,0.000795370375271887,0.000583333370741457,0.000425925914896652,0.00110185181256384,0.000273148150881752,0.000398611096898094,0.000976851908490062,4.16666662204079e-05,0.000388888875022531,0.000171296298503876,0.000388888875022531,0.000182870368007571
3,0.000222222224692814,7.03703699400648e-05,4.62962962046731e-05,0,0.000462962954770774,9.25925917272252e-07,4.62962952951784e-06,4.16666662204079e-05,3.24074062518775e-05,1.20370368676959e-05,0.00138425920158625,6.01851825194899e-05,0.000273148150881752,0.000388888875022531,2.77777780866018e-05,7.40740733817802e-06,0.000388888875022531,5.55555561732035e-05,0.000217592576518655,7.87037060945295e-05,0.000250000011874363,9.16666685952805e-05,0.00028240738902241,3.05555549857672e-05,0.00030555555713363,0,0.000152777778566815,5.55555561732035e-05,9.25925905903568e-06,1.38888890433009e-05,0.000333333329763263,0.000125000005937181,0.00012037036503898,3.24074062518775e-05,0,7.87037060945295e-06,0.000481481460155919,0,1.85185181180714e-05,4.62962952951784e-06,4.62962962046731e-05,3.70370366908901e-06
